id,carbs_ingredients_id,fruits_ingredients_id,vegetables_ingredients_id,amount_carbs,amount_fruits,amount_vegetables
1,20,8,18,94,132,47
2,26,8,10,123,147,62
3,26,2,15,105,113,34
4,26,1,19,86,140,58
5,20,7,15,83,149,78
6,26,1,12,76,128,43
7,27,2,21,75,131,52
1,26,1,10,93,121,42
2,26,4,12,124,105,66
3,26,2,16,114,132,47
4,26,3,18,101,144,33
5,20,5,17,79,123,49
6,20,8,11,110,129,35
7,20,3,18,100,130,69
1,28,4,19,108,126,35
2,28,6,11,103,129,73
3,28,4,16,113,105,38
4,26,4,17,77,129,79
5,28,1,13,84,122,71
6,28,7,17,112,133,49
7,20,1,19,123,141,74
1,20,1,12,82,103,74
2,26,7,19,122,100,39
3,20,8,21,77,109,47
4,20,3,21,85,136,78
5,28,4,15,104,127,62
6,27,7,10,78,119,71
7,26,4,16,92,100,62
1,27,7,21,116,118,62
2,26,3,17,104,126,38
3,28,6,22,79,114,64
4,26,8,11,116,104,37
5,20,4,21,81,108,53
6,26,2,14,122,118,39
7,27,3,17,117,112,59
1,26,1,21,116,102,57
2,26,5,18,122,147,55
3,28,8,10,87,138,63
4,20,4,22,100,131,79
5,28,1,16,85,106,34
6,28,3,10,87,100,40
7,26,7,10,75,113,38
1,27,6,21,102,146,42
2,28,7,22,79,136,47
3,20,8,18,76,107,46
4,27,5,19,111,119,69
5,27,7,15,113,138,48
6,27,4,13,78,122,30
7,27,7,17,104,114,73
1,20,4,12,105,137,71
2,20,2,9,107,125,79
3,27,2,21,124,135,79
4,20,4,19,96,134,32
5,20,1,12,84,108,39
6,27,2,12,123,126,33
7,28,1,10,114,107,53
1,26,1,13,92,148,71
2,20,7,21,123,122,63
3,28,4,21,97,125,71
4,26,3,14,116,116,52
5,20,6,10,85,111,79
6,26,1,22,105,147,55
7,26,1,21,104,117,52
1,27,5,17,114,142,77
2,27,7,15,109,147,58
3,27,5,9,80,149,31
4,28,7,14,85,147,75
5,20,6,18,105,132,65
6,20,4,14,89,107,42
7,26,2,9,117,120,71
1,20,8,13,107,120,63
2,28,3,21,113,129,60
3,20,7,17,100,124,53
4,28,4,11,118,115,38
5,28,4,17,103,107,40
6,28,2,12,106,122,65
7,26,3,10,81,104,49
1,26,3,19,79,129,65
2,20,7,21,77,114,41
3,26,4,16,101,101,53
4,28,3,22,111,123,78
5,27,6,17,104,143,57
6,27,6,19,112,139,70
7,20,3,12,101,138,58
1,27,7,18,123,104,54
2,27,1,19,94,143,62
3,27,1,9,120,133,63
4,27,2,18,85,135,58
5,20,6,11,89,132,31
6,26,5,11,105,105,54
7,26,3,14,116,135,38
1,26,4,14,118,148,57
2,26,4,17,84,106,58
3,28,4,11,124,136,36
4,27,3,11,76,134,62
5,27,4,16,109,128,32
6,28,7,17,110,105,32
7,26,8,15,88,101,73
1,27,7,11,110,143,76
2,28,5,17,121,118,56
3,28,6,22,112,148,71
4,27,6,12,116,133,57
5,20,1,14,123,111,49
6,28,8,21,102,132,54
7,26,6,13,77,137,35
1,20,5,12,80,136,59
2,20,8,9,120,120,69
3,26,3,19,120,116,51
4,26,1,9,108,101,38
5,26,1,14,114,146,57
6,27,6,11,115,103,52
7,26,6,9,106,108,39
1,20,6,21,81,102,43
2,27,1,13,83,117,56
3,20,2,14,119,104,60
4,26,1,10,99,128,65
5,27,6,19,119,130,38
6,28,6,15,119,149,74
7,26,4,12,81,104,58
1,28,6,16,78,116,50
2,27,7,15,79,123,78
3,28,4,21,124,141,52
4,20,7,10,111,122,38
5,26,6,19,85,104,55
6,27,2,19,118,133,67
7,27,7,16,113,131,50
1,20,5,21,85,115,55
2,20,7,14,101,136,76
3,26,3,13,83,112,46
4,26,4,17,79,142,48
5,26,1,14,87,107,77
6,20,3,12,81,145,45
7,26,1,11,118,142,52
1,26,3,22,87,121,71
2,20,2,12,124,145,64
3,27,1,16,100,117,68
4,27,3,11,96,123,63
5,20,6,18,106,137,72
6,27,3,14,76,147,34
7,20,1,14,101,102,67
1,28,2,16,112,134,59
2,28,1,9,117,125,59
3,28,4,12,124,144,64
4,27,8,15,83,145,54
5,27,7,9,100,125,35
6,27,6,13,120,100,31
7,28,1,12,103,136,63
1,27,7,17,84,111,48
2,20,2,21,116,102,47
3,20,6,18,76,117,55
4,28,7,16,99,141,74
5,27,2,17,99,111,45
6,20,6,18,124,116,69
7,27,4,14,96,144,32
1,26,5,17,76,128,30
2,26,6,17,118,114,36
3,20,6,18,103,139,48
4,27,5,9,109,135,73
5,27,7,18,98,132,55
6,28,4,21,75,134,62
7,20,2,18,110,100,54
1,26,4,9,87,102,38
2,20,2,12,100,144,41
3,20,8,22,112,110,37
4,26,7,14,122,109,44
5,28,3,19,87,120,39
6,20,1,16,114,134,48
7,28,1,13,94,143,78
1,20,1,15,106,128,37
2,27,6,10,112,137,55
3,27,3,14,90,115,30
4,26,4,11,83,126,62
5,26,3,12,86,113,43
6,20,3,17,119,132,30
7,26,2,9,79,104,68
1,26,4,15,95,100,35
2,27,2,10,78,120,40
3,27,7,9,79,132,64
4,26,3,21,96,132,36
5,20,5,13,103,128,43
6,20,1,9,80,106,49
7,20,8,17,114,115,66
1,20,8,11,80,142,34
2,20,2,17,98,128,30
3,20,1,21,110,141,49
4,28,6,12,93,102,59
5,26,3,12,96,114,56
6,26,6,19,97,113,68
7,27,4,12,119,124,39
1,20,8,21,107,103,51
2,20,5,9,114,101,45
3,20,1,11,76,104,30
4,26,3,19,113,141,33
5,28,2,13,82,142,63
6,20,4,9,88,112,56
7,20,2,13,88,149,32
1,27,6,19,124,116,63
2,20,7,12,82,126,35
3,20,1,18,115,143,67
4,26,4,22,115,127,35
5,20,2,21,108,138,58
6,26,4,13,112,129,57
7,27,7,14,100,144,72
1,28,3,15,97,122,50
2,20,7,13,106,123,52
3,28,2,11,84,134,35
4,28,3,18,84,123,78
5,28,1,9,95,129,43
6,27,6,17,94,140,30
7,28,3,16,106,149,47
1,20,5,9,83,142,53
2,27,8,15,95,138,45
3,28,7,13,88,134,79
4,26,6,17,118,123,77
5,20,2,10,109,149,33
6,28,2,10,103,104,37
7,27,6,16,111,139,38
1,28,6,22,79,145,35
2,26,2,11,81,111,53
3,26,5,17,105,112,77
4,28,7,12,109,118,58
5,27,6,19,94,108,37
6,27,6,22,86,120,41
7,27,5,14,88,130,53
1,27,3,11,112,125,69
2,26,2,22,109,138,39
3,28,1,22,115,125,65
4,27,7,14,81,140,57
5,27,5,16,95,124,42
6,28,6,9,101,110,55
7,28,2,11,91,145,68
1,28,1,11,86,123,44
2,28,5,17,95,104,49
3,20,6,16,78,106,66
4,27,4,19,121,116,46
5,28,6,13,79,137,63
6,27,2,12,94,143,71
7,27,4,15,89,110,51
1,27,4,18,108,101,57
2,26,2,21,122,109,44
3,20,8,11,80,108,32
4,26,6,9,103,127,72
5,27,3,21,123,101,38
6,20,5,11,101,125,50
7,27,4,16,78,134,57
1,20,8,17,106,113,72
2,26,8,18,115,140,50
3,26,8,22,117,147,51
4,27,2,9,94,141,62
5,27,4,19,99,132,47
6,20,1,22,100,141,44
7,28,1,14,116,147,72
1,28,1,14,109,133,46
2,20,3,22,89,112,74
3,28,2,12,87,125,60
4,20,4,18,110,114,37
5,28,7,17,99,140,33
6,27,2,18,89,140,49
7,20,5,15,114,138,78
1,28,5,19,98,126,56
2,26,8,11,121,124,75
3,26,7,19,82,128,68
4,27,7,21,78,149,76
5,27,3,11,103,121,77
6,20,3,17,77,112,42
7,26,2,12,78,112,72
1,27,5,21,81,101,43
2,28,8,21,121,121,76
3,28,2,22,82,124,76
4,28,7,22,78,117,55
5,20,7,13,78,121,68
6,20,7,17,105,118,68
7,26,8,11,90,124,55
1,20,5,11,110,122,64
2,20,8,10,89,120,34
3,20,6,13,107,105,69
4,26,8,22,89,126,50
5,28,4,17,100,136,76
6,26,7,22,77,125,31
7,26,7,22,86,125,37
1,27,8,19,114,137,59
2,28,1,10,123,142,40
3,26,6,21,102,129,63
4,27,5,22,111,124,67
5,26,3,13,105,108,50
6,27,7,22,87,106,70
7,20,1,12,109,110,41
1,27,1,9,110,128,55
2,28,8,14,120,124,32
3,28,4,13,121,109,53
4,26,7,15,83,107,49
5,26,7,17,80,136,67
6,28,7,11,82,135,46
7,28,3,21,118,117,49
1,20,2,22,98,117,34
2,20,8,12,122,111,57
3,26,4,19,121,129,49
4,27,2,18,103,138,34
5,28,2,11,78,132,55
6,20,7,15,119,133,79
7,26,6,13,94,106,55
1,28,8,14,92,104,36
2,27,6,15,81,100,69
3,20,8,13,94,121,67
4,28,6,19,114,138,68
5,28,2,10,121,107,76
6,26,2,9,112,137,56
7,26,7,13,78,137,59
1,20,1,12,110,117,73
2,20,4,13,106,147,42
3,28,6,13,106,102,57
4,28,5,22,83,112,30
5,20,5,11,121,103,75
6,26,7,12,98,131,31
7,27,8,14,85,114,55
1,27,5,18,90,103,48
2,27,1,13,120,138,48
3,20,3,18,83,140,79
4,28,7,16,101,123,53
5,27,4,11,101,134,44
6,20,5,17,94,124,45
7,27,3,22,98,116,69
1,26,3,19,75,110,43
2,27,5,9,76,137,43
3,26,4,22,117,112,52
4,20,4,14,109,120,77
5,20,6,11,112,140,40
6,20,6,22,83,108,65
7,27,3,15,94,101,36
1,28,1,13,105,105,33
2,27,7,15,122,134,33
3,20,1,9,102,145,51
4,27,1,11,96,110,45
5,26,1,17,84,121,38
6,27,5,18,120,119,58
7,26,4,14,82,139,35
1,20,4,16,88,146,59
2,28,4,17,113,125,55
3,26,2,13,75,130,31
4,28,3,19,86,113,67
5,20,6,18,113,118,39
6,28,1,19,113,132,39
7,26,2,19,113,101,37
1,20,4,22,109,110,49
2,20,1,21,114,109,46
3,28,6,19,104,140,73
4,27,3,10,113,117,52
5,26,6,11,82,109,56
6,20,1,11,98,115,71
7,28,4,9,111,112,63
1,28,8,11,99,111,66
2,28,4,18,107,133,34
3,20,3,9,96,144,77
4,27,2,9,88,145,43
5,20,5,13,121,148,67
6,27,8,11,120,103,67
7,26,6,9,98,100,61
1,27,3,13,113,142,54
2,28,1,19,112,147,75
3,20,6,18,110,102,64
4,28,7,11,104,107,75
5,28,3,19,89,138,76
6,20,5,13,123,136,56
7,20,6,22,97,116,66
1,28,7,14,98,126,30
2,20,6,9,113,141,70
3,26,5,22,78,108,57
4,28,1,21,112,132,37
5,20,8,13,106,108,51
6,26,6,19,124,140,61
7,27,2,18,104,125,79
1,26,1,22,119,125,47
2,20,7,9,121,106,63
3,26,6,16,103,132,69
4,27,4,19,99,143,59
5,26,4,9,96,124,59
6,28,8,16,82,128,35
7,20,1,19,92,110,64
1,27,2,18,80,108,33
2,28,5,16,78,142,35
3,28,1,19,119,105,53
4,20,4,11,114,116,49
5,26,8,12,86,126,74
6,28,2,15,101,109,48
7,26,8,19,97,107,66
1,28,6,17,76,107,46
2,20,4,21,122,112,54
3,28,3,17,106,135,33
4,26,7,13,90,136,62
5,26,5,17,123,145,68
6,27,5,13,83,117,61
7,26,5,19,111,143,34
1,20,2,10,83,144,68
2,27,8,15,96,129,76
3,27,3,15,83,136,51
4,28,6,14,91,100,47
5,27,4,9,85,113,51
6,28,3,10,88,107,68
7,26,6,11,83,128,54
1,26,3,10,96,113,30
2,27,6,17,113,143,43
3,28,1,12,93,146,41
4,26,5,12,123,144,70
5,20,2,17,103,143,60
6,27,8,9,104,144,50
7,26,6,15,116,140,48
1,27,5,11,94,104,75
2,28,7,22,115,108,32
3,20,1,15,112,123,36
4,28,8,12,90,101,70
5,28,1,11,124,129,36
6,28,6,19,114,115,53
7,26,7,11,88,124,48
1,28,1,17,117,105,55
2,26,6,10,105,124,77
3,27,5,16,117,107,31
4,20,3,14,117,139,30
5,28,4,13,85,101,36
6,27,6,17,109,142,79
7,27,8,9,97,110,52
1,28,2,15,101,145,47
2,20,3,13,93,137,66
3,26,1,21,118,122,77
4,20,5,12,120,107,46
5,20,3,17,102,104,37
6,27,3,19,111,124,75
7,26,5,12,90,138,77
1,20,4,18,120,130,54
2,20,3,14,124,143,58
3,26,5,19,121,148,41
4,27,2,14,88,130,68
5,20,2,11,94,146,43
6,27,1,19,84,122,41
7,27,2,10,91,124,46
1,20,8,16,82,103,33
2,26,4,15,107,113,43
3,26,5,21,86,118,41
4,27,5,14,99,117,41
5,28,2,21,95,104,60
6,27,1,9,116,128,39
7,26,2,12,124,142,55
1,27,1,15,116,146,53
2,27,6,9,108,122,72
3,28,5,10,123,103,76
4,26,7,15,114,102,58
5,27,6,15,86,130,71
6,27,1,13,110,133,72
7,26,2,9,116,139,63
1,20,7,19,114,124,60
2,20,7,10,117,139,73
3,20,4,16,105,104,54
4,26,2,21,80,135,68
5,26,5,15,112,103,55
6,27,8,17,121,119,38
7,26,5,22,101,134,67
1,27,4,22,99,146,48
2,20,1,10,77,106,35
3,26,8,15,112,112,41
4,27,5,10,76,148,45
5,28,3,17,77,142,47
6,26,3,21,91,109,41
7,27,5,16,122,149,37
1,26,5,21,103,149,65
2,20,3,11,117,134,51
3,26,1,14,77,121,67
4,20,4,18,106,143,36
5,26,2,19,105,143,65
6,20,6,10,98,117,58
7,28,5,15,81,139,56
1,26,1,17,93,111,37
2,27,8,18,110,124,43
3,26,4,11,98,124,60
4,28,5,13,100,141,49
5,27,3,13,89,106,62
6,20,7,15,124,123,56
7,28,6,12,118,114,76
1,26,6,17,121,105,72
2,26,3,13,110,118,42
3,27,8,14,104,147,40
4,26,5,11,102,103,61
5,26,6,11,90,110,43
6,26,1,18,123,112,61
7,26,8,12,76,116,74
1,20,3,13,109,129,33
2,28,3,16,75,124,73
3,27,7,12,91,110,52
4,26,1,17,105,106,45
5,28,5,22,90,123,58
6,20,8,15,78,132,58
7,26,2,14,85,113,67
1,26,7,18,101,112,72
2,28,8,15,120,117,64
3,28,7,18,110,107,62
4,27,5,13,83,121,43
5,26,2,17,76,131,46
6,28,7,11,107,118,35
7,20,5,18,83,138,54
1,27,7,17,111,123,31
2,27,6,19,119,137,71
3,26,5,22,119,141,78
4,26,7,21,124,118,66
5,26,6,18,75,138,49
6,27,3,22,95,116,40
7,27,2,21,107,108,74
1,28,7,11,109,116,46
2,28,8,22,87,133,49
3,27,1,18,108,104,33
4,28,5,9,120,117,72
5,27,1,18,78,140,36
6,20,5,16,78,120,47
7,20,7,16,78,143,52
1,28,5,15,102,141,47
2,26,1,16,87,118,63
3,26,5,19,95,140,61
4,20,5,9,75,134,58
5,27,8,9,80,118,39
6,26,4,18,95,107,57
7,27,1,10,124,147,56
1,28,2,17,109,134,54
2,27,3,13,92,145,73
3,28,1,11,112,133,61
4,20,4,9,121,125,55
5,27,8,15,118,129,31
6,20,1,13,116,106,40
7,28,4,17,84,137,68
1,20,7,17,98,102,31
2,28,7,10,113,112,48
3,27,3,11,113,109,39
4,26,4,13,95,145,78
5,20,2,15,80,108,42
6,28,1,12,92,131,48
7,20,3,9,87,100,55
1,20,7,14,88,134,50
2,27,5,22,120,104,68
3,26,8,15,115,142,73
4,26,2,16,114,123,76
5,27,7,16,85,122,64
6,27,5,12,109,111,38
7,26,2,16,78,116,53
1,20,7,14,103,103,65
2,28,4,10,123,131,59
3,28,7,21,75,140,44
4,27,3,9,75,134,38
5,26,8,15,123,136,53
6,20,8,22,119,111,33
7,28,7,14,111,140,50
1,26,4,15,104,143,40
2,27,4,22,109,130,73
3,20,2,18,91,148,71
4,27,6,17,115,144,76
5,28,3,13,90,139,78
6,26,2,11,122,117,75
7,20,4,19,117,136,79
1,28,1,19,106,142,35
2,26,6,13,92,142,47
3,27,4,14,117,139,31
4,20,5,9,105,119,30
5,27,4,17,98,114,39
6,20,1,21,102,116,57
7,26,5,10,124,124,47
1,27,8,22,89,145,78
2,20,2,14,109,115,65
3,28,2,15,89,149,46
4,26,8,15,95,103,31
5,26,7,9,86,133,71
6,20,4,22,105,123,53
7,26,2,9,115,132,38
1,20,7,10,110,119,31
2,26,3,17,120,100,39
3,20,6,16,84,121,39
4,28,2,17,80,147,62
5,26,2,18,107,148,31
6,26,8,16,80,144,68
7,28,2,9,114,112,59
1,28,3,10,81,110,60
2,20,4,15,81,116,53
3,27,6,19,102,125,72
4,20,7,18,115,125,68
5,27,4,19,116,124,41
6,28,7,9,82,136,71
7,27,2,11,109,145,49
1,28,5,16,80,137,61
2,28,1,19,115,112,33
3,26,5,12,108,111,42
4,27,2,11,109,121,62
5,28,3,18,109,100,51
6,27,5,9,115,136,48
7,27,8,22,119,145,77
1,27,1,14,100,113,37
2,20,6,16,85,130,62
3,27,2,15,124,134,44
4,26,4,13,121,147,45
5,27,2,21,95,123,61
6,26,6,10,91,142,72
7,26,8,19,118,123,77
1,26,4,10,83,147,39
2,28,4,9,88,106,43
3,20,3,19,112,101,59
4,28,1,10,75,147,55
5,26,1,12,107,115,76
6,26,1,11,99,114,33
7,28,3,16,91,104,48
1,20,8,17,90,108,65
2,20,1,19,123,113,67
3,27,5,22,76,112,43
4,26,2,16,77,149,50
5,27,1,17,109,100,34
6,28,5,13,110,133,53
7,20,6,9,106,145,46
1,26,7,12,92,149,52
2,27,2,16,83,137,47
3,26,8,15,112,147,55
4,20,3,21,79,132,58
5,20,7,9,84,146,63
6,28,2,10,78,145,72
7,27,7,12,95,111,39
1,27,1,18,91,100,49
2,26,4,21,78,117,56
3,26,4,17,75,110,72
4,28,4,15,91,138,43
5,20,4,10,82,112,67
6,28,8,15,102,113,55
7,26,6,9,119,108,41
1,27,6,22,112,111,46
2,27,1,17,96,118,47
3,28,6,13,118,119,74
4,28,2,11,113,117,33
5,20,6,14,119,131,42
6,27,2,11,96,103,65
7,20,8,14,78,126,72
1,20,6,15,119,141,55
2,20,5,15,100,116,49
3,28,2,22,80,128,61
4,20,4,11,89,114,64
5,20,8,21,77,136,54
6,27,6,18,98,129,52
7,20,8,17,117,140,40
1,20,5,11,102,103,75
2,27,7,17,106,114,61
3,20,4,18,117,115,52
4,27,4,10,111,148,58
5,20,6,14,93,105,47
6,20,3,13,91,129,33
7,20,3,11,122,109,67
1,26,7,22,98,118,60
2,26,2,22,111,103,49
3,20,6,18,113,108,79
4,28,7,15,111,136,70
5,27,5,21,81,106,66
6,28,3,21,80,146,79
7,26,6,15,122,134,35
1,26,5,14,76,121,50
2,26,8,14,120,133,37
3,26,3,10,86,104,60
4,20,5,18,97,131,48
5,20,3,18,75,120,75
6,26,8,16,119,116,60
7,27,2,22,122,136,69
1,26,2,19,88,146,77
2,28,4,9,120,120,42
3,20,3,10,84,120,71
4,27,4,16,109,102,34
5,27,7,21,92,115,70
6,20,5,10,84,106,76
7,28,3,22,121,122,56
1,26,4,15,81,149,53
2,26,3,22,111,117,64
3,26,7,11,106,140,33
4,20,6,21,122,148,77
5,26,6,13,76,141,35
6,20,5,18,93,124,47
7,20,2,18,122,142,42
1,20,1,10,81,128,63
2,26,1,15,105,143,30
3,28,8,14,86,112,35
4,26,5,9,86,114,34
5,20,1,18,102,125,68
6,26,5,15,100,141,72
7,20,6,21,97,142,54
1,26,6,10,75,149,67
2,26,7,15,82,139,57
3,20,2,16,89,142,51
4,20,3,18,109,109,33
5,20,8,21,87,126,56
6,28,3,21,108,143,35
7,26,7,16,94,124,54
1,28,3,22,120,112,70
2,26,5,18,101,142,53
3,20,4,13,120,144,49
4,20,3,13,107,142,37
5,28,5,16,98,124,44
6,20,5,14,93,103,55
7,28,6,17,85,108,39
1,26,5,13,84,147,66
2,20,7,11,95,147,56
3,20,6,16,77,145,48
4,20,8,15,121,129,72
5,26,1,19,123,115,47
6,27,2,22,119,109,67
7,28,1,14,89,122,39
1,26,5,18,83,103,49
2,20,4,16,122,114,76
3,27,7,21,85,144,54
4,26,4,9,123,123,44
5,26,7,13,86,129,41
6,26,6,11,111,103,57
7,28,2,18,124,148,42
1,20,5,17,123,123,75
2,28,4,16,77,142,41
3,27,7,16,75,113,46
4,27,1,16,102,104,74
5,26,8,22,95,111,36
6,28,2,16,115,106,32
7,20,1,18,104,123,60
1,20,4,17,78,117,42
2,27,3,16,80,112,76
3,27,1,16,106,109,31
4,26,2,9,120,116,48
5,20,8,22,108,102,36
6,20,7,16,93,127,62
7,27,6,22,79,102,62
1,28,6,11,96,114,51
2,20,1,16,76,113,47
3,27,2,12,107,149,42
4,28,7,13,75,147,53
5,26,4,21,98,122,46
6,26,5,10,121,105,57
7,28,4,11,81,102,70
1,28,4,11,98,132,69
2,28,2,13,97,129,66
3,20,4,17,101,132,70
4,27,4,18,106,141,38
5,20,4,13,109,134,77
6,27,4,14,108,120,62
7,26,1,16,120,101,45
1,28,5,19,119,140,52
2,28,6,11,88,107,30
3,26,5,10,88,123,55
4,20,5,12,123,115,33
5,26,6,10,118,128,60
6,27,3,9,84,113,48
7,27,2,21,114,137,34
1,27,1,12,119,115,30
2,28,6,15,80,141,48
3,20,7,19,75,136,58
4,28,5,10,77,149,53
5,28,8,21,78,102,36
6,26,1,17,98,136,38
7,26,7,12,82,100,34
1,20,4,9,117,133,53
2,28,3,21,112,144,45
3,28,4,22,124,112,46
4,20,4,14,120,133,42
5,20,7,21,109,146,32
6,20,8,17,118,119,38
7,27,4,13,99,136,52
1,26,3,11,118,148,42
2,28,6,9,92,124,73
3,20,7,12,86,104,79
4,28,8,17,99,120,52
5,28,5,15,83,135,45
6,20,6,12,123,129,45
7,27,6,9,99,126,59
1,28,7,19,90,143,40
2,27,5,22,115,124,59
3,27,3,17,124,127,50
4,28,2,10,93,105,76
5,27,5,19,111,103,39
6,26,3,9,117,115,53
7,27,1,21,81,130,35
1,20,6,10,99,123,70
2,20,2,16,78,140,38
3,26,2,14,88,103,47
4,28,8,19,78,145,66
5,28,6,21,94,108,63
6,20,3,11,116,131,59
7,28,4,17,88,142,46
1,27,8,22,99,120,41
2,28,7,12,124,125,63
3,28,3,19,104,105,32
4,20,5,12,96,131,47
5,28,4,16,93,146,57
6,20,3,16,106,104,65
7,28,6,14,118,138,68
1,26,2,10,77,109,38
2,28,3,13,123,105,41
3,26,8,13,96,100,69
4,27,4,22,78,116,35
5,28,5,11,112,111,69
6,20,3,14,96,143,43
7,28,7,9,89,106,74
1,26,4,15,77,104,37
2,28,7,9,108,113,32
3,26,7,17,75,137,51
4,28,6,22,106,128,58
5,26,8,22,112,124,43
6,27,6,9,84,149,49
7,28,2,9,118,129,31
1,20,2,18,111,132,71
2,26,7,21,83,124,46
3,20,3,14,93,141,72
4,20,1,15,102,140,42
5,26,1,21,85,121,40
6,20,6,12,91,129,50
7,20,8,15,98,131,79
1,26,2,12,106,120,49
2,28,5,21,97,124,43
3,26,5,14,87,130,66
4,20,8,15,82,117,55
5,28,6,19,89,106,42
6,27,2,9,79,108,67
7,28,7,16,93,147,64
1,26,6,14,86,136,36
2,28,3,10,99,146,75
3,27,6,22,105,140,31
4,27,7,17,106,121,59
5,26,2,12,85,102,48
6,20,8,10,101,140,32
7,27,4,17,96,147,76
1,26,8,12,95,146,46
2,26,5,19,91,126,33
3,28,2,12,97,126,34
4,20,1,12,90,100,67
5,27,7,22,117,119,49
6,28,4,22,111,108,68
7,27,4,16,77,129,58
1,20,8,15,90,100,65
2,26,7,18,102,115,63
3,28,3,11,75,123,33
4,28,5,14,122,146,77
5,20,4,10,115,148,44
6,20,7,11,96,147,63
7,26,1,14,90,111,79
1,26,7,13,106,108,78
2,28,6,15,92,114,58
3,27,7,18,105,130,40
4,26,8,13,121,117,51
5,26,4,22,95,146,38
6,28,5,12,98,119,63
7,20,7,21,92,107,46
1,26,7,21,98,145,57
2,20,4,12,80,130,52
3,28,6,19,99,144,45
4,26,3,9,102,109,43
5,28,6,13,81,118,31
6,27,4,13,109,134,47
7,27,2,19,84,121,66
