id,id_citizen,id_lunch,id_dinner,id_breakfast,day,week_num
1,1,5,1,1,Sunday,0
2,1,5,6,2,Monday,0
3,1,3,5,2,Tuesday,0
4,1,7,5,5,Wednesday,0
5,1,2,5,6,Thursday,0
6,1,6,7,1,Friday,0
7,1,2,3,5,Saturday,0
1,1,2,5,1,Sunday,1
2,1,5,3,6,Monday,1
3,1,7,6,3,Tuesday,1
4,1,5,4,1,Wednesday,1
5,1,5,5,2,Thursday,1
6,1,5,2,6,Friday,1
7,1,7,1,7,Saturday,1
8,2,6,4,6,Sunday,0
9,2,1,6,7,Monday,0
10,2,5,5,6,Tuesday,0
11,2,5,5,5,Wednesday,0
12,2,3,4,3,Thursday,0
13,2,1,7,4,Friday,0
14,2,3,3,6,Saturday,0
8,2,6,3,2,Sunday,1
9,2,5,4,1,Monday,1
10,2,4,2,6,Tuesday,1
11,2,2,2,2,Wednesday,1
12,2,6,4,1,Thursday,1
13,2,2,4,4,Friday,1
14,2,7,3,2,Saturday,1
15,3,4,1,6,Sunday,0
16,3,4,2,2,Monday,0
17,3,6,5,2,Tuesday,0
18,3,3,4,6,Wednesday,0
19,3,1,7,1,Thursday,0
20,3,5,4,3,Friday,0
21,3,7,2,3,Saturday,0
15,3,1,3,4,Sunday,1
16,3,3,4,1,Monday,1
17,3,2,6,3,Tuesday,1
18,3,1,4,1,Wednesday,1
19,3,5,3,3,Thursday,1
20,3,3,1,2,Friday,1
21,3,6,5,5,Saturday,1
22,4,5,6,5,Sunday,0
23,4,4,6,4,Monday,0
24,4,1,5,1,Tuesday,0
25,4,2,1,2,Wednesday,0
26,4,6,4,5,Thursday,0
27,4,3,1,5,Friday,0
28,4,1,5,6,Saturday,0
22,4,6,2,1,Sunday,1
23,4,5,4,4,Monday,1
24,4,6,2,3,Tuesday,1
25,4,1,1,4,Wednesday,1
26,4,6,3,5,Thursday,1
27,4,6,7,6,Friday,1
28,4,4,2,2,Saturday,1
29,5,3,7,3,Sunday,0
30,5,7,6,6,Monday,0
31,5,6,1,7,Tuesday,0
32,5,5,6,1,Wednesday,0
33,5,6,6,5,Thursday,0
34,5,5,7,2,Friday,0
35,5,7,2,3,Saturday,0
29,5,5,2,1,Sunday,1
30,5,5,1,1,Monday,1
31,5,1,5,2,Tuesday,1
32,5,6,5,3,Wednesday,1
33,5,5,4,3,Thursday,1
34,5,5,6,5,Friday,1
35,5,5,1,2,Saturday,1
36,6,4,3,3,Sunday,0
37,6,4,7,5,Monday,0
38,6,7,1,1,Tuesday,0
39,6,5,4,1,Wednesday,0
40,6,6,5,6,Thursday,0
41,6,3,3,6,Friday,0
42,6,6,5,4,Saturday,0
36,6,6,6,1,Sunday,1
37,6,6,2,3,Monday,1
38,6,3,7,2,Tuesday,1
39,6,4,3,1,Wednesday,1
40,6,2,2,6,Thursday,1
41,6,6,2,1,Friday,1
42,6,4,1,4,Saturday,1
43,7,2,2,1,Sunday,0
44,7,3,6,6,Monday,0
45,7,4,3,3,Tuesday,0
46,7,7,7,3,Wednesday,0
47,7,5,6,5,Thursday,0
48,7,2,6,6,Friday,0
49,7,3,5,2,Saturday,0
43,7,7,1,2,Sunday,1
44,7,7,5,4,Monday,1
45,7,7,5,1,Tuesday,1
46,7,5,2,5,Wednesday,1
47,7,1,4,4,Thursday,1
48,7,1,4,3,Friday,1
49,7,4,6,5,Saturday,1
50,8,6,5,3,Sunday,0
51,8,6,4,4,Monday,0
52,8,1,5,4,Tuesday,0
53,8,3,2,4,Wednesday,0
54,8,2,3,2,Thursday,0
55,8,6,3,2,Friday,0
56,8,3,5,5,Saturday,0
50,8,3,3,5,Sunday,1
51,8,6,5,2,Monday,1
52,8,2,1,3,Tuesday,1
53,8,3,6,6,Wednesday,1
54,8,4,2,3,Thursday,1
55,8,7,2,1,Friday,1
56,8,7,6,1,Saturday,1
57,9,5,2,1,Sunday,0
58,9,1,6,2,Monday,0
59,9,2,2,1,Tuesday,0
60,9,2,1,2,Wednesday,0
61,9,7,3,2,Thursday,0
62,9,5,7,6,Friday,0
63,9,2,7,4,Saturday,0
57,9,2,1,3,Sunday,1
58,9,5,6,1,Monday,1
59,9,6,7,2,Tuesday,1
60,9,1,3,6,Wednesday,1
61,9,5,5,2,Thursday,1
62,9,5,5,7,Friday,1
63,9,7,7,7,Saturday,1
64,10,2,1,6,Sunday,0
65,10,5,5,6,Monday,0
66,10,2,2,2,Tuesday,0
67,10,2,6,7,Wednesday,0
68,10,4,4,1,Thursday,0
69,10,6,4,7,Friday,0
70,10,1,3,3,Saturday,0
64,10,7,2,5,Sunday,1
65,10,4,2,6,Monday,1
66,10,1,1,3,Tuesday,1
67,10,7,3,7,Wednesday,1
68,10,5,7,1,Thursday,1
69,10,4,7,2,Friday,1
70,10,3,5,5,Saturday,1
71,11,7,6,5,Sunday,0
72,11,6,2,2,Monday,0
73,11,1,6,1,Tuesday,0
74,11,7,6,5,Wednesday,0
75,11,5,3,6,Thursday,0
76,11,2,2,3,Friday,0
77,11,1,1,2,Saturday,0
71,11,7,3,3,Sunday,1
72,11,7,6,4,Monday,1
73,11,7,2,5,Tuesday,1
74,11,6,6,5,Wednesday,1
75,11,5,7,4,Thursday,1
76,11,7,5,1,Friday,1
77,11,5,7,2,Saturday,1
78,12,2,7,4,Sunday,0
79,12,3,1,5,Monday,0
80,12,3,3,5,Tuesday,0
81,12,6,3,5,Wednesday,0
82,12,4,1,3,Thursday,0
83,12,2,7,3,Friday,0
84,12,5,2,5,Saturday,0
78,12,4,1,1,Sunday,1
79,12,7,7,4,Monday,1
80,12,2,2,5,Tuesday,1
81,12,2,4,2,Wednesday,1
82,12,7,6,3,Thursday,1
83,12,6,5,6,Friday,1
84,12,7,5,6,Saturday,1
85,13,7,1,4,Sunday,0
86,13,1,1,7,Monday,0
87,13,1,5,6,Tuesday,0
88,13,6,7,6,Wednesday,0
89,13,5,5,6,Thursday,0
90,13,4,4,1,Friday,0
91,13,1,1,2,Saturday,0
85,13,1,5,7,Sunday,1
86,13,3,5,2,Monday,1
87,13,7,3,2,Tuesday,1
88,13,4,5,4,Wednesday,1
89,13,6,5,1,Thursday,1
90,13,4,6,7,Friday,1
91,13,5,2,4,Saturday,1
92,14,7,4,4,Sunday,0
93,14,3,2,1,Monday,0
94,14,5,3,1,Tuesday,0
95,14,6,7,4,Wednesday,0
96,14,4,6,4,Thursday,0
97,14,4,5,3,Friday,0
98,14,5,1,2,Saturday,0
92,14,4,2,3,Sunday,1
93,14,2,7,7,Monday,1
94,14,5,7,5,Tuesday,1
95,14,1,4,7,Wednesday,1
96,14,6,2,1,Thursday,1
97,14,3,1,4,Friday,1
98,14,1,3,1,Saturday,1
99,15,2,6,6,Sunday,0
100,15,1,2,6,Monday,0
101,15,5,1,1,Tuesday,0
102,15,4,1,1,Wednesday,0
103,15,2,3,3,Thursday,0
104,15,2,2,3,Friday,0
105,15,2,7,3,Saturday,0
99,15,4,5,3,Sunday,1
100,15,5,6,5,Monday,1
101,15,3,1,5,Tuesday,1
102,15,7,4,6,Wednesday,1
103,15,1,3,3,Thursday,1
104,15,4,2,5,Friday,1
105,15,1,1,7,Saturday,1
106,16,4,5,4,Sunday,0
107,16,7,4,6,Monday,0
108,16,5,2,7,Tuesday,0
109,16,1,7,4,Wednesday,0
110,16,6,5,2,Thursday,0
111,16,4,4,3,Friday,0
112,16,2,3,7,Saturday,0
106,16,4,5,4,Sunday,1
107,16,2,1,1,Monday,1
108,16,1,5,1,Tuesday,1
109,16,6,1,7,Wednesday,1
110,16,3,7,1,Thursday,1
111,16,6,5,3,Friday,1
112,16,6,5,7,Saturday,1
113,17,6,6,4,Sunday,0
114,17,3,3,5,Monday,0
115,17,1,1,5,Tuesday,0
116,17,2,6,6,Wednesday,0
117,17,1,1,1,Thursday,0
118,17,7,5,3,Friday,0
119,17,6,5,5,Saturday,0
113,17,7,3,7,Sunday,1
114,17,5,3,5,Monday,1
115,17,2,5,6,Tuesday,1
116,17,1,4,5,Wednesday,1
117,17,1,6,6,Thursday,1
118,17,1,7,6,Friday,1
119,17,3,7,4,Saturday,1
120,18,3,4,2,Sunday,0
121,18,1,3,7,Monday,0
122,18,1,7,1,Tuesday,0
123,18,1,7,1,Wednesday,0
124,18,2,6,4,Thursday,0
125,18,4,5,7,Friday,0
126,18,7,7,4,Saturday,0
120,18,7,2,3,Sunday,1
121,18,2,7,2,Monday,1
122,18,2,7,5,Tuesday,1
123,18,4,3,6,Wednesday,1
124,18,1,4,6,Thursday,1
125,18,5,4,1,Friday,1
126,18,6,2,6,Saturday,1
127,19,5,7,4,Sunday,0
128,19,4,6,7,Monday,0
129,19,3,4,3,Tuesday,0
130,19,7,4,7,Wednesday,0
131,19,1,4,3,Thursday,0
132,19,7,7,3,Friday,0
133,19,5,6,7,Saturday,0
127,19,4,4,4,Sunday,1
128,19,2,2,3,Monday,1
129,19,5,7,2,Tuesday,1
130,19,6,2,6,Wednesday,1
131,19,6,2,2,Thursday,1
132,19,6,5,2,Friday,1
133,19,3,7,3,Saturday,1
134,20,2,5,7,Sunday,0
135,20,6,7,1,Monday,0
136,20,4,6,4,Tuesday,0
137,20,6,1,3,Wednesday,0
138,20,6,2,4,Thursday,0
139,20,1,2,5,Friday,0
140,20,5,6,5,Saturday,0
134,20,1,1,2,Sunday,1
135,20,2,2,3,Monday,1
136,20,2,1,3,Tuesday,1
137,20,2,3,7,Wednesday,1
138,20,5,2,6,Thursday,1
139,20,4,4,2,Friday,1
140,20,2,1,1,Saturday,1
141,21,5,1,1,Sunday,0
142,21,3,1,7,Monday,0
143,21,5,6,3,Tuesday,0
144,21,4,6,2,Wednesday,0
145,21,6,2,5,Thursday,0
146,21,6,5,5,Friday,0
147,21,6,3,5,Saturday,0
141,21,2,4,5,Sunday,1
142,21,4,1,7,Monday,1
143,21,5,4,6,Tuesday,1
144,21,3,3,5,Wednesday,1
145,21,4,4,7,Thursday,1
146,21,1,6,2,Friday,1
147,21,3,4,3,Saturday,1
148,22,1,5,5,Sunday,0
149,22,6,7,1,Monday,0
150,22,2,6,6,Tuesday,0
151,22,4,4,6,Wednesday,0
152,22,4,4,5,Thursday,0
153,22,4,6,7,Friday,0
154,22,1,1,2,Saturday,0
148,22,4,2,3,Sunday,1
149,22,4,2,5,Monday,1
150,22,5,5,7,Tuesday,1
151,22,4,3,6,Wednesday,1
152,22,2,1,7,Thursday,1
153,22,1,6,2,Friday,1
154,22,7,4,5,Saturday,1
155,23,1,6,7,Sunday,0
156,23,6,1,7,Monday,0
157,23,3,5,7,Tuesday,0
158,23,2,3,4,Wednesday,0
159,23,2,4,4,Thursday,0
160,23,3,2,5,Friday,0
161,23,3,5,2,Saturday,0
155,23,7,1,1,Sunday,1
156,23,7,2,3,Monday,1
157,23,5,3,1,Tuesday,1
158,23,6,1,4,Wednesday,1
159,23,5,4,3,Thursday,1
160,23,4,5,1,Friday,1
161,23,6,2,7,Saturday,1
162,24,7,2,1,Sunday,0
163,24,3,1,5,Monday,0
164,24,4,6,5,Tuesday,0
