id,id_citizen,id_lunch,id_dinner,id_breakfast,day,week_num
1,1,5,4,4,Sunday,0
2,1,5,5,2,Monday,0
3,1,2,3,4,Tuesday,0
4,1,4,5,2,Wednesday,0
5,1,4,4,3,Thursday,0
6,1,5,5,2,Friday,0
7,1,5,1,3,Saturday,0
1,1,1,1,4,Sunday,1
2,1,4,5,1,Monday,1
3,1,4,4,1,Tuesday,1
4,1,2,5,1,Wednesday,1
5,1,1,3,2,Thursday,1
6,1,5,5,1,Friday,1
7,1,5,2,1,Saturday,1
8,2,5,3,5,Sunday,0
9,2,3,3,4,Monday,0
10,2,4,5,1,Tuesday,0
11,2,2,4,5,Wednesday,0
12,2,1,5,2,Thursday,0
13,2,4,3,2,Friday,0
14,2,2,2,3,Saturday,0
8,2,4,4,1,Sunday,1
9,2,5,2,3,Monday,1
10,2,2,4,5,Tuesday,1
11,2,4,5,3,Wednesday,1
12,2,5,4,2,Thursday,1
13,2,4,4,3,Friday,1
14,2,5,5,3,Saturday,1
15,3,4,4,4,Sunday,0
16,3,4,2,3,Monday,0
17,3,4,4,4,Tuesday,0
18,3,4,4,1,Wednesday,0
19,3,5,4,1,Thursday,0
20,3,2,3,1,Friday,0
21,3,5,4,4,Saturday,0
15,3,3,5,3,Sunday,1
16,3,5,4,3,Monday,1
17,3,3,5,4,Tuesday,1
18,3,4,4,1,Wednesday,1
19,3,5,4,5,Thursday,1
20,3,4,5,1,Friday,1
21,3,5,2,4,Saturday,1
22,4,4,4,5,Sunday,0
23,4,5,1,3,Monday,0
24,4,4,5,4,Tuesday,0
25,4,3,2,3,Wednesday,0
26,4,4,3,3,Thursday,0
27,4,4,4,3,Friday,0
28,4,5,4,3,Saturday,0
22,4,3,4,3,Sunday,1
23,4,5,3,4,Monday,1
24,4,4,4,3,Tuesday,1
25,4,1,4,1,Wednesday,1
26,4,2,2,1,Thursday,1
27,4,2,3,4,Friday,1
28,4,5,1,4,Saturday,1
29,5,4,5,2,Sunday,0
30,5,3,5,5,Monday,0
31,5,4,5,2,Tuesday,0
32,5,4,4,4,Wednesday,0
33,5,2,1,5,Thursday,0
34,5,4,5,4,Friday,0
35,5,3,1,2,Saturday,0
29,5,4,4,3,Sunday,1
30,5,5,5,4,Monday,1
31,5,5,4,1,Tuesday,1
32,5,5,4,4,Wednesday,1
33,5,1,5,1,Thursday,1
34,5,2,1,1,Friday,1
35,5,4,3,4,Saturday,1
36,6,2,1,1,Sunday,0
37,6,1,5,2,Monday,0
38,6,4,3,4,Tuesday,0
39,6,1,3,1,Wednesday,0
40,6,2,5,2,Thursday,0
41,6,1,4,4,Friday,0
42,6,4,5,3,Saturday,0
36,6,2,4,4,Sunday,1
37,6,4,5,4,Monday,1
38,6,5,2,5,Tuesday,1
39,6,5,5,4,Wednesday,1
40,6,5,5,3,Thursday,1
41,6,4,5,3,Friday,1
42,6,4,4,5,Saturday,1
43,7,5,4,2,Sunday,0
44,7,5,5,3,Monday,0
45,7,4,4,3,Tuesday,0
46,7,4,1,2,Wednesday,0
47,7,4,4,2,Thursday,0
48,7,3,3,1,Friday,0
49,7,4,4,4,Saturday,0
43,7,4,3,3,Sunday,1
44,7,2,1,5,Monday,1
45,7,3,3,4,Tuesday,1
46,7,4,5,2,Wednesday,1
47,7,3,3,1,Thursday,1
48,7,4,5,1,Friday,1
49,7,5,4,5,Saturday,1
50,8,5,5,5,Sunday,0
51,8,1,5,2,Monday,0
52,8,3,3,5,Tuesday,0
53,8,3,1,3,Wednesday,0
54,8,4,4,4,Thursday,0
55,8,5,4,2,Friday,0
56,8,3,3,1,Saturday,0
50,8,4,4,4,Sunday,1
51,8,5,5,5,Monday,1
52,8,5,4,5,Tuesday,1
53,8,5,3,2,Wednesday,1
54,8,4,5,4,Thursday,1
55,8,5,4,5,Friday,1
56,8,5,5,2,Saturday,1
57,9,2,2,1,Sunday,0
58,9,4,5,5,Monday,0
59,9,5,4,2,Tuesday,0
60,9,5,1,1,Wednesday,0
61,9,1,5,3,Thursday,0
62,9,4,4,2,Friday,0
63,9,5,4,2,Saturday,0
57,9,3,1,1,Sunday,1
58,9,1,4,5,Monday,1
59,9,4,5,2,Tuesday,1
60,9,5,2,2,Wednesday,1
61,9,5,5,2,Thursday,1
62,9,5,2,2,Friday,1
63,9,4,5,5,Saturday,1
64,10,3,5,2,Sunday,0
65,10,5,4,5,Monday,0
66,10,3,5,5,Tuesday,0
67,10,2,1,4,Wednesday,0
68,10,5,2,4,Thursday,0
69,10,2,2,3,Friday,0
70,10,4,4,4,Saturday,0
64,10,3,2,5,Sunday,1
65,10,5,4,1,Monday,1
66,10,4,3,2,Tuesday,1
67,10,5,1,1,Wednesday,1
68,10,4,4,1,Thursday,1
69,10,2,1,2,Friday,1
70,10,1,5,1,Saturday,1
71,11,3,2,2,Sunday,0
72,11,4,4,4,Monday,0
73,11,5,4,5,Tuesday,0
74,11,1,1,2,Wednesday,0
75,11,5,4,5,Thursday,0
76,11,5,5,1,Friday,0
77,11,5,4,1,Saturday,0
71,11,4,5,4,Sunday,1
72,11,1,2,3,Monday,1
73,11,4,3,1,Tuesday,1
74,11,5,2,1,Wednesday,1
75,11,4,5,4,Thursday,1
76,11,5,5,1,Friday,1
77,11,4,4,3,Saturday,1
78,12,4,5,3,Sunday,0
79,12,2,5,5,Monday,0
80,12,1,2,2,Tuesday,0
81,12,1,4,2,Wednesday,0
82,12,1,5,5,Thursday,0
83,12,5,3,5,Friday,0
84,12,3,3,5,Saturday,0
78,12,4,4,5,Sunday,1
79,12,2,3,3,Monday,1
80,12,4,1,1,Tuesday,1
81,12,5,4,2,Wednesday,1
82,12,4,5,4,Thursday,1
83,12,5,4,1,Friday,1
84,12,5,4,4,Saturday,1
85,13,5,4,2,Sunday,0
86,13,4,4,1,Monday,0
87,13,3,2,4,Tuesday,0
88,13,1,2,5,Wednesday,0
89,13,3,4,1,Thursday,0
90,13,5,3,2,Friday,0
91,13,3,5,4,Saturday,0
85,13,1,3,1,Sunday,1
86,13,4,5,4,Monday,1
87,13,2,3,5,Tuesday,1
88,13,5,5,5,Wednesday,1
89,13,4,5,4,Thursday,1
90,13,5,5,4,Friday,1
91,13,5,4,3,Saturday,1
92,14,4,4,5,Sunday,0
93,14,1,3,4,Monday,0
94,14,2,5,1,Tuesday,0
95,14,5,4,3,Wednesday,0
96,14,4,5,5,Thursday,0
97,14,4,4,2,Friday,0
98,14,4,4,5,Saturday,0
92,14,5,5,3,Sunday,1
93,14,2,5,4,Monday,1
94,14,4,3,1,Tuesday,1
95,14,5,3,2,Wednesday,1
96,14,1,5,1,Thursday,1
97,14,4,5,4,Friday,1
98,14,2,1,2,Saturday,1
99,15,5,5,3,Sunday,0
100,15,4,2,4,Monday,0
101,15,5,3,1,Tuesday,0
102,15,4,5,4,Wednesday,0
103,15,5,4,1,Thursday,0
104,15,5,5,2,Friday,0
105,15,4,2,3,Saturday,0
99,15,2,1,1,Sunday,1
100,15,4,5,5,Monday,1
101,15,5,4,3,Tuesday,1
102,15,2,2,2,Wednesday,1
103,15,4,2,1,Thursday,1
104,15,5,5,4,Friday,1
105,15,5,3,2,Saturday,1
106,16,5,1,5,Sunday,0
107,16,4,2,4,Monday,0
108,16,5,4,5,Tuesday,0
109,16,1,4,4,Wednesday,0
110,16,1,2,2,Thursday,0
111,16,3,5,5,Friday,0
112,16,3,1,5,Saturday,0
106,16,4,3,1,Sunday,1
107,16,4,2,3,Monday,1
108,16,4,3,2,Tuesday,1
109,16,4,4,1,Wednesday,1
110,16,1,2,4,Thursday,1
111,16,1,3,2,Friday,1
112,16,3,5,5,Saturday,1
113,17,2,3,4,Sunday,0
114,17,1,3,3,Monday,0
115,17,4,4,5,Tuesday,0
116,17,4,4,3,Wednesday,0
117,17,4,2,4,Thursday,0
118,17,5,3,4,Friday,0
119,17,3,1,3,Saturday,0
113,17,5,4,4,Sunday,1
114,17,2,1,5,Monday,1
115,17,5,5,1,Tuesday,1
116,17,2,1,1,Wednesday,1
117,17,5,1,3,Thursday,1
118,17,5,5,4,Friday,1
119,17,5,4,1,Saturday,1
120,18,4,5,4,Sunday,0
121,18,4,4,3,Monday,0
122,18,5,4,4,Tuesday,0
123,18,5,4,4,Wednesday,0
