1,banana,fruit,89,1.1,0.3,23,20,240
2,avocado,fruit,50,3,15,4,25,240
3,lime,fruit,30,0.7,0.2,11,25,240
4,coconut,fruit,354,3.3,33,15,30,240
5,orange,fruit,47,0.9,0.1,12,25,240
6,apple,fruit,52,0.3,0.2,14,25,240
7,blueberries,fruit,57,0.74,0.33,15,20,240
8,pear,fruit,57,0.4,0.1,15,20,240
9,tomatoes,vegetables,18,0.9,0.2,3.9,20,240
10,mushrooms,vegetables,22,3.1,0.3,3.3,30,240
11,cucumber,vegetables,16,0.7,0.1,3.6,25,240
12,bell pepper,vegetables,20,0.9,0.2,4.6,25,240
13,carrot,vegetables,41,0.9,0.2,10,25,240
14,eggplant,vegetables,25,1,0.2,6,25,240
15,celery,vegetables,16,0.7,0.2,3,25,240
16,lettuce,vegetables,10,1.4,0.2,2.9,25,240
17,kale,vegetables,49,4.3,0.9,9,25,240
18,brocolli,vegetables,34,7,0.4,2.8,25,240
19,garlic,vegetables,149,9,0.5,33,25,240
20,potatoes,carbs,77,2,0.1,17,35,240
21,chickpeas,vegetables,364,19,6,61,35,240
22,lentils,vegetables,116,9,0.4,20,20,240
23,salmon,meat,206,12,22,0,50,90
24,beef,meat,217,26.1,11.8,0,50,90
25,chicken,meat,165,31,3.6,0,50,90
26,bread,carbs,265,9,3.2,49,20,180
27,rice,carbs,130,2.7,0.3,28,40,180
28,pasta,carbs,158,0.9,6,31,30,180
